City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,hilo,US,82.4,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
1,boyolangu,ID,75.7,overcast clouds,-8.12,111.89,Yos ega cv
2,puerto ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
3,georgetown,MY,77.0,scattered clouds,5.41,100.34,Cititel Penang
4,miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
5,faanui,PF,80.02,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
6,butaritari,KI,81.09,broken clouds,3.07,172.79,Isles Sunset Lodge
7,sabang,ID,81.75,overcast clouds,5.89,95.32,Hotel Citra
8,quang ngai,VN,75.63,overcast clouds,15.12,108.8,Central Hotel
9,kahului,US,87.8,few clouds,20.89,-156.47,Maui Seaside Hotel
10,mahebourg,MU,75.2,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
11,souillac,MU,75.2,shower rain,-20.52,57.52,Bils' Villa
12,sola,VU,79.83,light rain,-13.88,167.55,Ulkel Guest House
13,hithadhoo,MV,82.98,scattered clouds,-0.6,73.08,Scoop Guest House
14,eldorado,BR,88.41,overcast clouds,-23.79,-54.28,Villa Verde Hotel
15,avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
16,kandrian,PG,77.5,light rain,-6.22,149.55,Kandrian Station
17,nouadhibou,MR,75.2,overcast clouds,20.93,-17.03,El Medina
18,kanniyakumari,IN,79.38,light rain,8.08,77.57,Sparsa
19,potiskum,NG,85.44,overcast clouds,11.71,11.07,Tamir Hotel Ltd
20,carutapera,BR,83.5,moderate rain,-1.2,-46.02,Lidera
21,touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
22,cockburn town,TC,83.48,overcast clouds,21.46,-71.14,Osprey Beach Hotel
23,monkey bay,MW,80.47,broken clouds,-14.07,34.92,Monkey Bay Beach Lodge
24,parrita,CR,75.2,broken clouds,9.52,-84.32,Beso del Viento
25,sinnamary,GF,84.33,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
26,labuhan,ID,79.52,overcast clouds,-6.88,112.21,bador sepret
27,vila velha,BR,75.0,light rain,-20.33,-40.29,Hotel Vitória Palace
28,katherine,AU,78.8,broken clouds,-14.47,132.27,Pine Tree Motel
29,atuona,PF,78.93,clear sky,-9.8,-139.03,Villa Enata
30,bambous virieux,MU,75.2,shower rain,-20.34,57.76,Casa Tia Villa
31,ca mau,VN,75.47,broken clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
32,port said,EG,77.0,clear sky,31.26,32.28,Aracan Hotel
33,mayumba,GA,77.47,light rain,-3.43,10.66,LIKWALE LODGE
34,goure,NE,84.51,clear sky,13.98,10.27,
35,tacuarembo,UY,82.99,moderate rain,-31.73,-55.98,Hotel Orange
36,sapele,NG,76.84,overcast clouds,5.89,5.68,Movig Hotel & Suites
37,kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
38,barinas,VE,85.84,broken clouds,8.62,-70.21,Hotel Suites Mastranto
39,bentiu,SS,79.81,clear sky,9.23,29.83,Mandela hôtel
40,alyangula,AU,80.6,light intensity shower rain,-13.85,136.42,Groote Eylandt Lodge
41,bambanglipuro,ID,77.65,overcast clouds,-7.95,110.28,Puri Brata
42,san patricio,US,84.0,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
43,kapaa,US,84.0,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
44,hukuntsi,BW,80.13,light rain,-24.0,21.75,Entabeni Hotel
45,mopti,ML,87.13,clear sky,14.67,-4.0,
46,san cristobal,VE,86.0,scattered clouds,7.77,-72.22,Pirineos
47,kalmunai,LK,80.6,overcast clouds,7.42,81.82,VS Villa
48,hilton head island,US,78.8,scattered clouds,32.22,-80.75,Hampton Inn Hilton Head
49,pekan,MY,75.2,few clouds,3.48,103.4,Pekan Budget Hotel
50,salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
